ISIN,SECURITYSYMBOL,MTMPRICE,MTMDATE
INE522F01014,COALINDIA,233,10-1-2019
INE522F01014,COALINDIA,232.25,11-1-2019
INE522F01014,COALINDIA,230.9,14-1-2019
INE522F01014,COALINDIA,232.65,15-1-2019
INE522F01014,COALINDIA,232.05,16-1-2019
INE522F01014,COALINDIA,232.05,17-1-2019
INE522F01014,COALINDIA,230,18-1-2019
INE522F01014,COALINDIA,229,21-1-2019
INE522F01014,COALINDIA,227.75,22-1-2019
INE522F01014,COALINDIA,225.55,23-1-2019
INE522F01014,COALINDIA,223.85,24-1-2019
INE522F01014,COALINDIA,220.95,25-1-2019
INE522F01014,COALINDIA,225.2,28-1-2019
INE522F01014,COALINDIA,222.55,29-1-2019
INE522F01014,COALINDIA,225.2,30-1-2019
INE522F01014,COALINDIA,224.65,31-1-2019
INE522F01014,COALINDIA,223.2,01-2-2019
INE522F01014,COALINDIA,222.1,04-2-2019
INE522F01014,COALINDIA,216.4,05-2-2019
INE522F01014,COALINDIA,219.95,06-2-2019
INE522F01014,COALINDIA,224.2,07-2-2019
INE522F01014,COALINDIA,218.65,08-2-2019
INE522F01014,COALINDIA,218.8,11-2-2019
INE522F01014,COALINDIA,223.05,12-2-2019
INE522F01014,COALINDIA,220.25,13-2-2019
INE522F01014,COALINDIA,217.2,14-2-2019
INE522F01014,COALINDIA,219.95,15-2-2019
INE522F01014,COALINDIA,215.15,18-2-2019
INE522F01014,COALINDIA,214.25,19-2-2019
INE522F01014,COALINDIA,214.95,20-2-2019
INE522F01014,COALINDIA,213.7,21-2-2019
INE522F01014,COALINDIA,214.95,22-2-2019
INE522F01014,COALINDIA,214.35,25-2-2019
INE522F01014,COALINDIA,220.15,26-2-2019
INE522F01014,COALINDIA,221.45,27-2-2019
INE522F01014,COALINDIA,228.3,28-2-2019
INE522F01014,COALINDIA,232.65,01-3-2019
INE522F01014,COALINDIA,241.15,05-3-2019
INE522F01014,COALINDIA,242.75,06-3-2019
INE522F01014,COALINDIA,235,07-3-2019
INE522F01014,COALINDIA,234.9,08-3-2019
INE522F01014,COALINDIA,243.4,11-3-2019
INE522F01014,COALINDIA,242.95,12-3-2019
INE522F01014,COALINDIA,238.65,13-3-2019
INE522F01014,COALINDIA,243.2,14-3-2019
INE522F01014,COALINDIA,244.35,15-3-2019
INE522F01014,COALINDIA,244.2,18-3-2019
INE522F01014,COALINDIA,242.9,19-3-2019
INE522F01014,COALINDIA,237,20-3-2019
INE522F01014,COALINDIA,231.95,22-3-2019
INE522F01014,COALINDIA,237.2,25-3-2019
INE522F01014,COALINDIA,236.45,26-3-2019
INE522F01014,COALINDIA,234.45,27-3-2019
INE522F01014,COALINDIA,236.1,28-3-2019
INE522F01014,COALINDIA,237.2,29-3-2019
INE522F01014,COALINDIA,236.4,01-4-2019
