PORTCODE,ASONDATE,VALUE
532540,15-01-2018,2746.1
532540,16-01-2018,2850.85
532540,17-01-2018,2888.95
532540,18-01-2018,2918.2
532540,19-01-2018,2959.3
532540,22-01-2018,3116.4
532540,23-01-2018,3102
532540,24-01-2018,3174.6
532540,25-01-2018,3121.05
532540,29-01-2018,3198.85
532540,30-01-2018,3152.85
532540,31-01-2018,3112.35
532540,01-02-2018,3138.6
532540,02-02-2018,3153.65
532540,05-02-2018,3103.2
532540,06-02-2018,2997.25
532540,07-02-2018,2955.05
532540,08-02-2018,2974.2
532540,09-02-2018,2971.7
532540,12-02-2018,2967.3
532540,14-02-2018,2911.8
532540,15-02-2018,2925.85
532540,16-02-2018,2933.05
532540,19-02-2018,2923.6
532540,20-02-2018,2944.75
532540,21-02-2018,3042.3
532540,22-02-2018,3050.2
532540,23-02-2018,3075.8
532540,26-02-2018,3031.7
532540,27-02-2018,3042.35
532540,28-02-2018,3035.05
532540,01-03-2018,3037.7
532540,05-03-2018,3105.85
532540,06-03-2018,3042.8
532540,07-03-2018,3027.45
532540,08-03-2018,3003.95
532540,09-03-2018,3034.1
532540,12-03-2018,3052.15
532540,13-03-2018,2886.8
532540,14-03-2018,2886.9
532540,15-03-2018,2869.7
532540,16-03-2018,2825.7
532540,19-03-2018,2831
532540,20-03-2018,2864.85
532540,21-03-2018,2856.75
532540,22-03-2018,2831.35
532540,23-03-2018,2818.15
532540,26-03-2018,2817
532540,27-03-2018,2847.7
532540,28-03-2018,2849.15
532540,02-04-2018,2909.65
532540,03-04-2018,2911.25
532540,04-04-2018,2910.9
532540,05-04-2018,2957.95
532540,06-04-2018,2950.3
532540,09-04-2018,2923.9
532540,10-04-2018,2937.6
532540,11-04-2018,3014.15
532540,12-04-2018,3139.25
532540,13-04-2018,3153.3
532540,16-04-2018,3187.65
532540,17-04-2018,3166.6
532540,18-04-2018,3159.1
532540,19-04-2018,3191.15
532540,20-04-2018,3402.45
532540,23-04-2018,3408.65
532540,24-04-2018,3385.65
532540,25-04-2018,3470.25
532540,26-04-2018,3539.25
532540,27-04-2018,3451.95
532540,30-04-2018,3532.1
532540,02-05-2018,3499.75
532540,03-05-2018,3481.85
532540,04-05-2018,3480.75
532540,07-05-2018,3420.95
532540,08-05-2018,3441.2
532540,09-05-2018,3489.3
532540,10-05-2018,3451.25
532540,11-05-2018,3456.95
532540,14-05-2018,3433.55
532540,15-05-2018,3482.4
532540,16-05-2018,3493.9
532540,17-05-2018,3491.8
532540,18-05-2018,3502.05
532540,21-05-2018,3556.75
532540,22-05-2018,3508.9
532540,23-05-2018,3495.1
532540,24-05-2018,3603.7
532540,25-05-2018,3585.8
532540,28-05-2018,3502.05
532540,29-05-2018,3523.5
532540,30-05-2018,3514.1
532540,31-05-2018,1741.05
532540,01-06-2018,1732.45
532540,04-06-2018,1744.25
532540,05-06-2018,1721.6
532540,06-06-2018,1725.75
532540,07-06-2018,1735.55
532540,08-06-2018,1747.1
532540,11-06-2018,1749.7
532540,12-06-2018,1781
532540,13-06-2018,1824.1
532540,14-06-2018,1787.55
532540,15-06-2018,1840.05
532540,18-06-2018,1829
532540,19-06-2018,1824.5
532540,20-06-2018,1822.45
532540,21-06-2018,1819.35
532540,22-06-2018,1809.8
532540,25-06-2018,1819.25
532540,26-06-2018,1852
532540,27-06-2018,1858
532540,28-06-2018,1842.7
532540,29-06-2018,1847.75
532540,02-07-2018,1851.35
532540,03-07-2018,1874.05
532540,04-07-2018,1866.15
532540,05-07-2018,1880.3
532540,06-07-2018,1912.95
532540,09-07-2018,1883
532540,10-07-2018,1875.1
532540,11-07-2018,1979.9
532540,12-07-2018,1971.35
532540,13-07-2018,1981.1
532540,16-07-2018,1989.2
532540,17-07-2018,2002.15
532540,18-07-2018,2000.25
532540,19-07-2018,1981.4
532540,20-07-2018,1996.6
532540,23-07-2018,2005.65
532540,24-07-2018,1999
532540,25-07-2018,1981.5
532540,26-07-2018,1964.7
532540,27-07-2018,1943.75
532540,30-07-2018,1944.6
532540,31-07-2018,1940.2
532540,01-08-2018,1976.5
532540,02-08-2018,1948.4
532540,03-08-2018,1979.45
532540,06-08-2018,1975.55
532540,07-08-2018,1967.35
532540,08-08-2018,1974
532540,09-08-2018,1974.35
532540,10-08-2018,1993.1
532540,13-08-2018,2000.15
532540,14-08-2018,2003.55
532540,16-08-2018,2008.5
532540,17-08-2018,2012.75
532540,20-08-2018,2009.95
532540,21-08-2018,2017.65
532540,23-08-2018,2035.1
532540,24-08-2018,2043
532540,27-08-2018,2050.9
532540,28-08-2018,2069.2
532540,29-08-2018,2072
532540,30-08-2018,2082.4
532540,31-08-2018,2078.4
532540,03-09-2018,2052.9
532540,04-09-2018,2098.9
532540,05-09-2018,2079.25
532540,06-09-2018,2075.3
532540,07-09-2018,2079.85
532540,10-09-2018,2080.75
532540,11-09-2018,2046.25
532540,12-09-2018,2043.95
532540,14-09-2018,2065.4
532540,17-09-2018,2074.15
532540,18-09-2018,2070.75
532540,19-09-2018,2077.9
532540,21-09-2018,2103.15
532540,24-09-2018,2198.45
532540,25-09-2018,2183.2
532540,26-09-2018,2142.15
532540,27-09-2018,2188.85
532540,28-09-2018,2183.7
532540,01-10-2018,2255.55
532540,03-10-2018,2162.85
532540,04-10-2018,2064.8
532540,05-10-2018,2102.65
532540,08-10-2018,2077.55
532540,09-10-2018,2091.8
532540,10-10-2018,2043.6
532540,11-10-2018,1979.95
532540,12-10-2018,1918.3
532540,15-10-2018,1949.5
532540,16-10-2018,1962.3
532540,17-10-2018,1929.4
532540,19-10-2018,1913.2
532540,22-10-2018,1903
532540,23-10-2018,1843.65
532540,24-10-2018,1848.5
532540,25-10-2018,1853
532540,26-10-2018,1799.1
532540,29-10-2018,1871
532540,30-10-2018,1894.8
532540,31-10-2018,1938.15
532540,01-11-2018,1935.75
532540,02-11-2018,1913.45
532540,05-11-2018,1890.85
532540,06-11-2018,1932.7
532540,07-11-2018,1942.15
532540,09-11-2018,1909.2
532540,12-11-2018,1914.85
532540,13-11-2018,1934.95
532540,14-11-2018,1880.65
532540,15-11-2018,1872.85
532540,16-11-2018,1886.6
532540,19-11-2018,1902.45
532540,20-11-2018,1878.25
532540,21-11-2018,1812
532540,22-11-2018,1812.55
532540,26-11-2018,1846.1
532540,27-11-2018,1890.25
532540,28-11-2018,1983.9
532540,29-11-2018,1960.55
532540,30-11-2018,1968.25
532540,03-12-2018,1982.4
532540,04-12-2018,2010.85
532540,05-12-2018,2006.75
532540,06-12-2018,1992.7
532540,07-12-2018,1995.2
532540,10-12-2018,1975.8
532540,11-12-2018,2000
532540,12-12-2018,2016.8
532540,13-12-2018,1982.6
532540,14-12-2018,1989.75
532540,17-12-2018,1994.3
532540,18-12-2018,1987.85
532540,19-12-2018,1968.45
532540,20-12-2018,1954.05
532540,21-12-2018,1895.8
532540,24-12-2018,1918.5
532540,26-12-2018,1889.2
532540,27-12-2018,1908.95
532540,28-12-2018,1896.05
532540,31-12-2018,1893.05
532540,01-01-2019,1902.8
532540,02-01-2019,1923.3
532540,03-01-2019,1899.95
