,PORTCODE,ASONDATE,VALUE
0,500135,19-03-2016,148.043280457415
1,500135,20-03-2016,148.043280457415
2,500135,21-03-2016,148.043280457415
3,500135,22-03-2016,148.043280457415
4,500135,23-03-2016,148.043280457415
5,500135,24-03-2016,148.043280457415
6,500135,25-03-2016,148.043280457415
7,500135,26-03-2016,148.043280457415
8,500135,27-03-2016,148.043280457415
9,500135,28-03-2016,148.043280457415
10,500135,29-03-2016,148.043280457415
11,500135,30-03-2016,148.043280457415
12,500135,31-03-2016,144.442001500189
13,500135,01-04-2016,144.442001500189
14,500135,02-04-2016,144.442001500189
15,500135,03-04-2016,144.442001500189
16,500135,04-04-2016,144.442001500189
17,500135,05-04-2016,144.442001500189
18,500135,06-04-2016,144.442001500189
19,500135,07-04-2016,144.442001500189
20,500135,08-04-2016,144.442001500189
21,500135,09-04-2016,144.442001500189
22,500135,10-04-2016,144.442001500189
23,500135,11-04-2016,144.442001500189
24,500135,12-04-2016,144.442001500189
25,500135,13-04-2016,144.442001500189
26,500135,14-04-2016,144.442001500189
27,500135,15-04-2016,144.442001500189
28,500135,16-04-2016,144.442001500189
29,500135,17-04-2016,144.442001500189
30,500135,18-04-2016,144.442001500189
31,500135,19-04-2016,144.442001500189
32,500135,20-04-2016,144.442001500189
33,500135,21-04-2016,144.442001500189
34,500135,22-04-2016,144.442001500189
35,500135,23-04-2016,144.442001500189
36,500135,24-04-2016,144.442001500189
37,500135,25-04-2016,144.442001500189
38,500135,26-04-2016,144.442001500189
39,500135,27-04-2016,144.442001500189
40,500135,28-04-2016,144.442001500189
41,500135,29-04-2016,144.442001500189
42,500135,04-01-2015,403601633.08
43,500135,05-01-2015,403601633.08
44,500135,06-01-2015,403601633.08
45,500135,07-01-2015,403601633.08
46,500135,08-01-2015,403601633.08
47,500135,09-01-2015,403601633.08
48,500135,10-01-2015,403601633.08
49,500135,11-01-2015,403601633.08
50,500135,12-01-2015,403601633.08
51,500135,13-01-2015,403601633.08
52,500135,14-01-2015,403601633.08
53,500135,15-01-2015,403601633.08
54,500135,16-01-2015,403601633.08
55,500135,17-01-2015,403601633.08
56,500135,18-01-2015,403601633.08
57,500135,19-01-2015,403601633.08
58,500135,20-01-2015,403601633.08
59,500135,21-01-2015,403601633.08
60,500135,22-01-2015,403601633.08
61,500135,23-01-2015,403601633.08
62,500135,24-01-2015,403601633.08
63,500135,25-01-2015,403601633.08
64,500135,26-01-2015,403601633.08
65,500135,27-01-2015,403601633.08
66,500135,28-01-2015,403601633.08
67,500135,29-01-2015,403601633.08
68,500135,30-01-2015,403601633.08
69,500135,31-01-2015,389174651.5
70,500135,01-02-2015,389174651.5
71,500135,02-02-2015,389174651.5
72,500135,03-02-2015,389174651.5
73,500135,04-02-2015,389174651.5
74,500135,05-02-2015,389174651.5
75,500135,06-02-2015,389174651.5
76,500135,07-02-2015,389174651.5
77,500135,08-02-2015,389174651.5
78,500135,09-02-2015,389174651.5
79,500135,10-02-2015,389174651.5
80,500135,11-02-2015,389174651.5
81,500135,12-02-2015,389174651.5
82,500135,13-02-2015,389174651.5
83,500135,14-02-2015,389174651.5
84,500135,15-02-2015,389174651.5
85,500135,16-02-2015,389174651.5
86,500135,17-02-2015,389174651.5
87,500135,18-02-2015,389174651.5
88,500135,19-02-2015,389174651.5
89,500135,20-02-2015,389174651.5
90,500135,21-02-2015,389174651.5
91,500135,22-02-2015,389174651.5
92,500135,23-02-2015,389174651.5
93,500135,24-02-2015,389174651.5
